"Initial Latitude (degrees)","Initial Longitude (degrees)","Final Latitude (degrees)","Final Longitude (degrees)","Initial Timestamp (s)","Final Timestamp (s)","Angle Turned (degrees)"
39.988361,-83.0365215,39.9883582,-83.0365047,1516231899,1516231912,105
39.9883582,-83.0365047,39.988361,-83.0364122,1516231912,1516231915,107
39.9883568,-83.0362571,39.9883597,-83.0363132,1516231923,1516231929,192
39.9883597,-83.0363132,39.9883486,-83.0363318,1516231929,1516231933,87
39.9883486,-83.0363318,39.9883562,-83.036223,1516231933,1516231948,76
39.9878427,-83.0260121,39.9881768,-83.0256103,1516232206,1516232214,99
39.9961971,-83.0246332,39.9979576,-83.0253806,1516232450,1516232466,95
40.0245283,-83.0361168,40.0287351,-83.0337132,1516232645,1516232667,76
40.0307849,-83.0294259,40.0353603,-83.0283696,1516232684,1516232705,74
40.0629108,-83.0308299,40.0631324,-83.0314006,1516232875,1516232883,77
40.063903,-83.0579825,40.0641412,-83.0582309,1516233128,1516233137,90
40.0648047,-83.0581746,40.0650476,-83.0585565,1516233149,1516233162,89
40.0650286,-83.0589046,40.0647308,-83.0590672,1516233171,1516233182,94
40.0646969,-83.0590658,40.0646396,-83.059149,1516233183,1516233214,158
